Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OTE;Total des dépenses des administrations publiques (*);GF0501;05.1 - Gestion des déchets;FRA;France;3,014;3,244;3,727;3,951;3,997;4,604;4,696;5,404;6,213;6,744;7,097;7,569;7,830;8,239;8,839;9,568;10,198;10,542;10,772;11,179;11,154;10,865;11,121;11,628;12,034;11,979;12,905;13,952;15,119;15,862
OTE;Total des dépenses des administrations publiques (*);GF0502;05.2 - Gestion des eaux usées;FRA;France;1,579;1,513;1,664;1,782;1,999;2,325;2,510;2,553;2,737;3,055;3,509;3,657;3,917;4,163;4,405;4,281;4,366;4,321;4,184;4,009;3,886;3,713;3,864;4,101;4,420;4,117;4,376;4,805;5,050;5,200
OTE;Total des dépenses des administrations publiques (*);GF0503;05.3 - Lutte contre la pollution;FRA;France;0,393;0,421;0,386;0,396;0,393;0,512;0,771;0,730;0,660;0,774;0,825;1,044;1,109;1,421;1,753;1,899;1,531;1,514;1,806;1,641;1,709;1,596;1,560;1,779;2,453;2,619;3,026;3,523;3,982;4,269
OTE;Total des dépenses des administrations publiques (*);GF0504;05.4 - Préservation de la diversité biologique et protection de la nature;FRA;France;0,449;0,475;0,517;0,519;0,560;0,671;0,755;0,756;0,759;0,840;0,872;0,917;0,964;1,016;1,167;1,317;1,443;1,545;1,585;1,570;1,606;1,480;1,493;1,623;1,728;1,755;1,903;1,993;1,954;1,678
OTE;Total des dépenses des administrations publiques (*);GF0505;05.5 - R-D dans le domaine de la protection de l'environnement;FRA;France;0,056;0,102;0,099;0,096;0,096;0,199;0,265;0,238;0,200;0,224;0,381;0,472;0,470;0,411;0,317;0,339;0,369;0,345;0,359;0,681;0,755;0,771;0,781;0,817;0,853;0,751;0,830;1,266;1,307;1,760
OTE;Total des dépenses des administrations publiques (*);GF0506;05.6 - Protection de l'environnement n.c.a.;FRA;France;1,333;1,388;1,450;1,279;1,420;1,474;1,858;1,602;1,779;1,715;1,589;1,770;1,522;1,443;1,496;1,455;1,325;1,366;1,596;1,549;1,578;1,473;1,470;1,538;1,523;1,528;1,531;1,624;1,524;1,516
OTE;Total des dépenses des administrations publiques (*);GF06;06 - Logements et équipements collectifs;FRA;France;12,848;12,293;13,341;13,615;14,433;16,588;17,058;19,398;19,296;20,317;20,245;22,124;24,691;26,529;29,603;28,746;28,961;28,258;28,086;27,441;26,917;25,636;25,245;24,848;26,978;26,562;30,017;31,724;35,602;42,129
OTE;Total des dépenses des administrations publiques (*);GF0601;06.1 - Logements;FRA;France;3,458;2,914;2,944;2,994;3,111;3,499;3,799;4,163;3,943;4,065;3,511;4,767;6,096;7,326;10,513;10,397;10,053;10,127;9,491;9,499;9,800;8,794;8,032;7,171;7,100;8,133;10,003;8,692;8,461;8,415
OTE;Total des dépenses des administrations publiques (*);GF0602;06.2 - Équipements collectifs;FRA;France;7,442;7,473;8,432;8,688;9,018;10,441;10,380;12,146;12,191;12,991;13,355;13,607;14,664;15,139;14,979;14,262;14,777;14,297;14,570;13,966;13,214;12,861;13,089;13,453;15,295;14,052;15,082;17,824;21,208;27,230
OTE;Total des dépenses des administrations publiques (*);GF0603;06.3 - Alimentation en eau;FRA;France;1,016;0,968;1,011;1,003;1,244;1,486;1,685;1,807;1,827;1,948;2,052;2,262;2,424;2,524;2,527;2,488;2,431;2,205;2,371;2,330;2,326;2,223;2,327;2,425;2,631;2,478;2,659;2,848;3,000;2,848
