Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y15T64;DEU;Allemagne;PS;Personnes;_T;Total;De 15 à 64 ans;55719011,000;55595923,000;55359157,000;55063396,000;54746149,000;54495823,000;54275818,000;54006063,000;53922000,000;52856734,000;53038578,000;53198954,000;53347162,000;53708240,000;53978882,000;53937129,000;53877877,000;53764817,000;53545184,000;53299643,000;53481767,000;53059521,000;53124946,000
Y_GE65;DEU;Allemagne;PS;Personnes;_T;Total;65 ans et plus;14252270,000;14649405,000;15113725,000;15618761,000;16084679,000;16409018,000;16623877,000;16815375,000;16873017,000;16589929,000;16659291,000;16783984,000;16970755,000;17194443,000;17404939,000;17609707,000;17796623,000;17987103,000;18181162,000;18354067,000;18548263,000;18599400,000;18841707,000
Y15T64;DEU;Allemagne;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;28260944,000;28182450,000;28046810,000;27885792,000;27718676,000;27585084,000;27463467,000;27317743,000;27274423,000;26569997,000;26687616,000;26795905,000;26907602,000;27191559,000;27407405,000;27388100,000;27361137,000;27302019,000;27182913,000;27051650,000;27107641,000;26893865,000;26997874,000
Y_GE65;DEU;Allemagne;PS;Personnes;M;Sexe masculin;65 ans et plus;5624509,000;5862913,000;6130260,000;6414666,000;6679490,000;6873768,000;7014305,000;7141736,000;7200443,000;7052791,000;7114347,000;7202405,000;7316593,000;7444381,000;7561542,000;7672143,000;7773198,000;7873926,000;7975121,000;8065732,000;8160864,000;8183848,000;8306266,000
Y_GE65;DEU;Allemagne;PS;Personnes;F;Sexe féminin;65 ans et plus;8627761,000;8786492,000;8983465,000;9204095,000;9405189,000;9535250,000;9609572,000;9673639,000;9672574,000;9537138,000;9544944,000;9581579,000;9654162,000;9750062,000;9843397,000;9937564,000;10023425,000;10113177,000;10206041,000;10288335,000;10387399,000;10415552,000;10535441,000
Y15T64;DEU;Allemagne;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;27458067,000;27413473,000;27312347,000;27177604,000;27027473,000;26910739,000;26812351,000;26688320,000;26647577,000;26286737,000;26350962,000;26403049,000;26439560,000;26516681,000;26571477,000;26549029,000;26516740,000;26462798,000;26362271,000;26247993,000;26374126,000;26165656,000;26127072,000
Y_GE65;DEU;Allemagne;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;13,953;14,530;15,191;15,899;16,566;17,062;17,436;17,790;17,953;18,002;18,100;18,248;18,431;18,530;18,622;18,818;19,003;19,204;19,436;19,650;19,754;19,941;20,121
Y_GE65;DEU;Allemagne;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,278;17,750;18,316;18,939;19,526;19,946;20,246;20,531;20,633;20,666;20,714;20,812;20,956;21,049;21,136;21,305;21,466;21,647;21,863;22,061;22,134;22,332;22,532
Y_GE65;DEU;Allemagne;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,455;20,829;21,307;21,851;22,364;22,715;22,945;23,166;23,213;23,206;23,212;23,269;23,383;23,487;23,581;23,725;23,865;24,027;24,226;24,409;24,450;24,654;24,883
Y_LT15;DEU;Allemagne;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,174;14,889;14,595;14,293;14,016;13,811;13,653;13,529;13,429;13,489;13,339;13,222;13,169;13,202;13,315;13,441;13,547;13,649;13,750;13,874;14,043;13,962;13,937
