Cde_Pays;Pays;Cde_Dépense;Dépense;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
HRV;Croatie;GF0601;Logements;0,065100;0,116170;0,153490;0,122830;0,143520;0,127220;0,127650;0,087300;0,091910;0,072500;0,081890;0,077010;0,091120;0,068100;0,105220;0,068780;0,069170;0,088870;0,116650;0,130320;0,176070;0,178050;
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;4,836340;4,891230;4,922560;5,063660;5,376620;5,632240;6,146100;6,374220;6,516530;6,565380;6,543470;6,619890;6,820990;6,962640;6,701500;6,902870;7,251740;7,572550;7,909290;8,105920;8,756220;10,132100;
HRV;Croatie;GF0905;Enseignement non défini par niveau;0,007870;0,009060;0,009000;0,008880;0,008630;0,009010;0,009600;0,011090;0,009240;0,009110;0,009630;0,008940;0,008870;0,009400;0,009620;0,011170;0,013740;0,015250;0,014510;0,015890;0,024760;0,035900;
HRV;Croatie;GF0202;Défense civile;0,000120;0,000140;0,000040;0,000020;0,000160;0,000250;0,000330;0,000400;0,000590;0,000430;0,000430;0,000440;0,000720;0,000730;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
HRV;Croatie;GF04;Affaires économiques;2,253420;3,005360;3,266650;3,057140;3,053410;4,066810;4,469830;4,357060;4,006560;4,264500;3,294690;3,467960;3,050450;2,902420;2,846650;2,761830;3,623010;3,903330;5,036900;4,565450;5,395910;6,072230;
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;0,042420;0,045820;0,050090;0,054010;0,047200;0,055480;0,062180;0,060170;0,051170;0,043660;0,039840;0,042060;0,036190;0,035270;0,035180;0,087790;0,075950;0,101030;0,101500;0,126020;0,120510;0,183480;
HRV;Croatie;GF0706;Santé n.c.a.;0,121390;0,140320;0,154110;0,160700;0,163540;0,182230;0,194280;0,191620;0,166210;0,157800;0,178810;0,186110;0,152070;0,174680;0,164100;0,156610;0,131420;0,147660;0,139070;0,137530;0,149500;0,187920;
HRV;Croatie;GF0906;Services annexes à l'enseignement;0,077830;0,099260;0,089660;0,094170;0,091130;0,113580;0,101180;0,120660;0,117290;0,113110;0,126100;0,141540;0,144160;0,118380;0,114880;0,124760;0,127590;0,142580;0,130160;0,146820;0,167810;0,201800;
HRV;Croatie;GF07;Santé;1,744470;1,946730;2,223680;2,368870;2,530200;2,763740;2,739350;2,858520;2,887280;2,862980;2,925060;2,898410;2,913080;3,139700;3,141790;3,360470;3,623450;3,987450;4,425470;4,884850;5,248860;6,118310;
HRV;Croatie;GF0603;Alimentation en eau;0,193560;0,138020;0,184440;0,166470;0,153100;0,178060;0,174270;0,167940;0,196230;0,206470;0,201070;0,163930;0,159340;0,163560;0,275410;0,222570;0,153880;0,215430;0,194230;0,271220;0,289850;0,375320;
HRV;Croatie;GF0406;Communications;0,002880;0,004070;0,003770;0,004560;0,004540;0,005690;0,019680;0,005000;0,001950;0,005470;0,011870;0,010370;0,010710;0,020230;0,020060;0,021550;0,020940;0,018390;0,027330;0,024850;0,026530;0,030150;
HRV;Croatie;GF0502;Gestion des eaux usées;0,041600;0,065060;0,080100;0,078840;0,091480;0,121080;0,135650;0,115810;0,127590;0,164570;0,153710;0,164190;0,105270;0,100470;0,124180;0,091370;0,132310;0,133040;0,123290;0,132760;0,142000;0,176290;
HRV;Croatie;GF0408;RetD concernant les affaires économiques;0,075980;0,073920;0,090400;0,094930;0,087020;0,099370;0,104630;0,112800;0,125640;0,119470;0,110710;0,123380;0,107390;0,101680;0,094400;0,101840;0,123910;0,141900;0,121960;0,148390;0,176790;0,191070;
HRV;Croatie;GF06;Logement et développement collectif;0,501300;0,573510;0,652520;0,659430;0,726540;0,819130;0,907350;0,841730;0,783090;0,779510;0,851290;0,798080;0,812620;0,759400;0,918280;0,822280;0,650230;0,761780;0,741080;0,891210;0,995340;1,273900;
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;0,054300;0,059590;0,090290;0,058480;0,066980;0,092240;0,147030;0,296420;0,480350;1,135190;0,080510;0,075630;0,065450;0,071500;0,083450;0,082750;0,389370;0,259760;0,061260;0,071880;0,152050;0,070520;
HRV;Croatie;GF0303;Tribunaux;0,164690;0,178820;0,189700;0,186050;0,189610;0,228190;0,234340;0,248370;0,221640;0,217950;0,221160;0,225690;0,232870;0,220580;0,224740;0,265050;0,274990;0,292850;0,284030;0,267700;0,280840;0,303030;
HRV;Croatie;GF0503;Lutte contre la pollution;0,009290;0,011870;0,013370;0,015460;0,011850;0,011350;0,008390;0,011040;0,008820;0,008400;0,008240;0,008340;0,012750;0,014690;0,035810;0,024730;0,017320;0,016690;0,018180;0,025770;0,028690;0,032310;
HRV;Croatie;GF0205;Défense n.c.a.;0,017580;0,017150;0,019990;0,021370;0,023170;0,028490;0,030730;0,038630;0,034250;0,025760;0,032910;0,033410;0,006650;0,005370;0,005510;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
HRV;Croatie;GF03;Ordre et sécurité publics;0,703700;0,740130;0,783960;0,820460;0,874580;0,984620;1,056840;1,072410;1,030200;1,036350;1,021960;1,020910;0,987370;1,035760;1,031700;0,999730;1,063490;1,210140;1,285540;1,390760;1,417270;1,687710;
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;0,248340;0,278640;0,363350;0,390850;0,416840;0,452000;0,434350;0,495450;0,464670;0,473820;0,498850;0,532600;0,531450;0,533000;0,554200;0,573010;0,581670;0,625590;0,690990;0,724810;0,771440;0,852580;
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;0,012540;0,017230;0,016260;0,021990;0,024190;0,024680;0,024200;0,026480;0,021480;0,020920;0,019740;0,031670;0,028130;0,011950;0,018550;0,030610;0,023230;0,027080;0,032590;0,027760;0,025920;0,034510;
HRV;Croatie;GF1009;Protection sociale n.c.a.;0,030370;0,026730;0,031230;0,035160;0,042810;0,035150;0,050170;0,050580;0,049180;0,044560;0,046900;0,054420;0,063270;0,050200;0,086270;0,072500;0,084710;0,070740;0,137500;0,091830;0,091580;0,090510;
HRV;Croatie;GF1002;Vieillesse;2,733350;2,721330;2,722920;2,815460;3,002250;3,181220;3,472610;3,509560;3,543800;3,556190;3,553440;3,629050;3,691760;3,960540;3,974170;4,118190;4,329170;4,556780;4,726390;4,925460;5,335220;6,129390;
HRV;Croatie;GF1003;Survivants;0,480840;0,478820;0,479990;0,493100;0,528420;0,558860;0,610950;0,611430;0,617810;0,620510;0,622440;0,636950;0,634330;0,644110;0,651070;0,654350;0,670400;0,687470;0,697960;0,705330;0,741330;0,953660;
HRV;Croatie;GF0102;Aide économique extérieure;0,000120;0,000130;0,000080;0,000040;0,000230;0,001210;0,002800;0,002270;0,002390;0,002300;0,003060;0,002800;0,003060;0,002470;0,002480;0,007830;0,008040;0,007820;0,010650;0,017150;0,015120;0,020350;
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;0,090020;0,028290;0,041070;0,044780;0,034830;0,046240;0,042850;0,055060;0,036320;0,045570;0,043430;0,041600;0,046360;0,046270;0,043560;0,062890;0,050860;0,056780;0,042710;0,044380;0,047450;0,060480;
HRV;Croatie;GF0902;Enseignement secondaire;0,348080;0,377730;0,380920;0,394790;0,406240;0,447650;0,428650;0,470910;0,450220;0,448500;0,446660;0,440600;0,449540;0,418410;0,457480;0,439210;0,466340;0,502870;0,523750;0,569770;0,606060;0,714650;
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;0,028210;0,030510;0,034050;0,035440;0,031620;0,037870;0,043390;0,038480;0,018140;0,028070;0,027450;0,026740;0,024120;0,025880;0,023780;0,023870;0,032890;0,040620;0,043520;0,046350;0,057150;0,061100;
SVK;République slovaque;GF0903;Enseignement postsecondaire non supérieur;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000020;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
SVK;République slovaque;GF0108;Transferts de caractère général entre administrations publiques;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,023070;0,349360;0,093690;0,027220;0,008660;0,042810;0,001940;0,004840;0,002070;0,093140;0,094430;0,279740;0,199840;0,387960;
SVK;République slovaque;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;0,000030;0,000010;0,000010;0,000010;0,000010;0,000110;0,000060;0,000010;0,000010;0,000010;0,000020;0,000050;0,000020;0,000050;0,000550;0,000750;0,000810;0,000910;0,000970;0,000900;0,000920;0,000650;
SVK;République slovaque;GF0604;Éclairage public;0,023640;0,035890;0,035990;0,045960;0,044680;0,041970;0,046140;0,054980;0,067800;0,062800;0,065740;0,063120;0,068070;0,134520;0,058190;0,060280;0,067180;0,057090;0,057210;0,060400;0,081520;0,088290;
SVK;République slovaque;GF0806;Loisirs, culture et culte n.c.a.;0,013580;0,008480;0,008560;0,009090;0,010600;0,016350;0,018240;0,018360;0,013180;0,018880;0,024950;0,058910;0,013550;0,031550;0,021310;0,019170;0,025300;0,036860;0,025210;0,021750;0,026020;0,034530;
SVK;République slovaque;GF0102;Aide économique extérieure;0,002830;0,005710;0,005790;0,004770;0,008830;0,009630;0,009750;0,012330;0,028350;0,022100;0,023960;0,037960;0,013370;0,029070;0,050530;0,038920;0,042220;0,038580;0,031500;0,035650;0,023400;0,037240;
SVK;République slovaque;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;1,138370;1,140800;0,995450;1,125440;1,362540;1,233400;1,403210;2,092860;1,669590;1,657720;1,968010;2,181100;2,127110;2,609660;2,454670;2,160930;2,561120;2,673060;3,098840;3,229790;3,274050;3,697700;
SVK;République slovaque;GF0204;R et D concernant la défense;0,003000;0,001350;0,001420;0,001450;0,006340;0,003570;0,003350;0,003240;0,003920;0,002750;0,002670;0,002380;0,002570;0,002660;0,002720;0,003030;0,003690;0,005470;0,004150;0,004860;0,005940;0,008000;
SVK;République slovaque;GF0506;Protection de l'environnement n.c.a.;0,044360;0,047860;0,048150;0,056260;0,175490;0,049400;0,055530;0,061290;0,071120;0,070290;0,072670;0,091030;0,062630;0,108860;0,102040;0,100220;0,189630;0,189440;0,179410;0,149820;0,157660;0,225260;
SVK;République slovaque;GF0801;Services récréatifs et sportifs;0,056850;0,082020;0,086700;0,086250;0,077010;0,091250;0,100530;0,114650;0,201820;0,122430;0,114670;0,131410;0,145070;0,164750;0,184140;0,253960;0,229890;0,294350;0,262410;0,272350;0,320180;0,316500;
SVK;République slovaque;GF0403;Combustibles et énergie;0,015570;0,014430;0,011920;0,021600;0,014710;0,015760;0,019660;0,259800;0,246750;0,358750;0,409390;0,522440;0,801570;0,753150;0,724160;0,759250;0,745470;0,761320;0,911910;0,706010;0,716500;3,422640;
SVK;République slovaque;GF0404;Industries extractives et manufacturières, construction;0,030230;0,025720;0,021960;0,036900;0,102960;0,082190;0,086410;0,101980;0,100150;0,110490;0,066570;0,041700;0,027860;0,078900;0,047590;0,041590;0,061870;0,056730;0,057110;0,053020;0,065180;0,086310;
SVK;République slovaque;GF0305;RetD concernant l'ordre et la sécurité publics;0,000020;0,000020;0,000020;0,000020;0,000030;0,000030;0,000030;0,000040;0,000380;0,000430;0,000530;0,000240;0,000040;0,000010;0,000000;0,000010;0,000000;0,000020;0,000100;0,000120;0,000120;0,000090;
SVK;République slovaque;GF0505;RetD dans le domaine de la protection de l'environnement;0,007630;0,011040;0,011380;0,013650;0,005700;0,006030;0,008930;0,007850;0,003380;0,002640;0,002460;0,004630;0,010970;0,003760;0,002800;0,002050;0,004390;0,004320;0,002160;0,003460;0,002840;0,005060;
SVK;République slovaque;GF0205;Défense n.c.a.;0,008150;0,005290;0,005490;0,005550;0,007500;0,007540;0,008060;0,009210;0,014980;0,016760;0,016290;0,009710;0,009890;0,012340;0,012950;0,014490;0,016200;0,018910;0,028690;0,125830;0,095690;0,044090;
SVK;République slovaque;GF0803;Services de radiodiffusion, de télévision et d'édition;0,098440;0,075680;0,076500;0,082180;0,091040;0,103480;0,118270;0,121460;0,140410;0,127290;0,117650;0,130590;0,127930;0,136200;0,137330;0,145250;0,142110;0,165710;0,156970;0,194250;0,211480;0,261060;
SVK;République slovaque;GF0303;Tribunaux;0,163160;0,129300;0,134780;0,138030;0,179270;0,173930;0,190270;0,222690;0,220640;0,224090;0,232130;0,241310;0,232730;0,229660;0,213990;0,222740;0,244520;0,288560;0,294680;0,285380;0,323360;0,382870;
SVK;République slovaque;GF1002;Vieillesse;2,813270;2,514400;2,778530;3,397940;3,370030;3,865470;4,094450;4,539440;4,533900;4,653780;4,838840;5,211050;5,470660;5,666120;5,952430;6,322060;6,452390;6,918470;7,582890;8,162820;8,618100;10,960240;
SVK;République slovaque;GF0703;Services hospitaliers;1,076560;1,163470;1,166400;1,489270;1,707540;1,667960;1,872420;2,110880;1,712160;1,785650;1,467740;1,724030;2,065880;2,140360;2,264060;2,290020;2,258040;2,729700;2,705990;3,212100;3,879010;4,049310;
SVK;République slovaque;GF0201;Défense militaire;0,499400;0,347750;0,362980;0,372110;0,452980;0,454430;0,491270;0,547790;0,787440;0,741080;0,756330;0,761170;1,244950;0,766170;0,787070;1,267520;1,033600;1,003840;1,016000;1,181940;0,932050;-0,078190;
