Cde_Pays;Mesure;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
IRL;Hommes;1946164,0;1976914,0;2011914,0;2061831,0;2117322;2191275,0;2238581,0;2257342,0;2262181;2270506,0;2275017,0;2286131,0;2299041,0;2317718,0;2346546,0;2380827,0;2419506,0;2456306,0;2491778,0;2514023,0;2561954,0;2606170,0;2657236
ITA;Total;57089823,0;57399187,0;57828178,0;58166684,0;58399863;58756247,0;59211183,0;59555456,0;59819402;60026844,0;60191243,0;60311616,0;60320708,0;60229599,0;60115220,0;60002254,0;59877216,0;59729077,0;59438845,0;59133173,0;59013671,0;58984217,0;58952700
ITA;Femmes;29452156,0;29603801,0;29812164,0;29977383,0;30097335;30286647,0;30528336,0;30713313,0;30860476;30974257,0;31049119,0;31093905,0;31085787,0;31018921,0;30929374,0;30834692,0;30733389,0;30638433,0;30480687,0;30290583,0;30196776,0;30153437,0;30090942
ITA;Hommes;27637667,0;27795386,0;28016014,0;28189301,0;28302528;28469600,0;28682847,0;28842143,0;28958926;29052587,0;29142124,0;29217711,0;29234921,0;29210678,0;29185846,0;29167562,0;29143827,0;29090644,0;28958158,0;28842590,0;28816895,0;28830780,0;28861758
LTU;Total;3443067,0;3415213,0;3377075,0;3322528,0;3269909;3231294,0;3198231,0;3162916,0;3097282;3028115,0;2987773,0;2957689,0;2932367,0;2904910,0;2868231,0;2828403,0;2801543,0;2794137,0;2794885,0;2808380,0;2831638,0;2871585,0;2888055
LTU;Femmes;1835741,0;1822655,0;1803934,0;1777164,0;1752280;1734187,0;1717845,0;1701140,0;1668571;1632748,0;1611572,0;1595246,0;1581241,0;1566978,0;1547334,0;1523663,0;1505101,0;1494164,0;1485909,0;1502598,0;1510431,0;1520724,0;1518235
LTU;Hommes;1607326,0;1592558,0;1573141,0;1545364,0;1517629;1497107,0;1480386,0;1461776,0;1428711;1395367,0;1376201,0;1362443,0;1351126,0;1337932,0;1320897,0;1304740,0;1296442,0;1299973,0;1308976,0;1305782,0;1321207,0;1350860,0;1369820
LUX;Total;446166,0;451626,0;458098,0;465152,0;472641;479992,0;488647,0;497783,0;506953;518351,0;530952,0;543358,0;556322,0;569605,0;583459,0;596337,0;607950,0;620003,0;630413,0;640064,0;653108,0;666428,0;677010
LUX;Femmes;226253,0;228770,0;231666,0;235025,0;238695;242291,0;246426,0;250661,0;254939;260129,0;265831,0;271595,0;277776,0;284021,0;290544,0;296724,0;302298,0;308158,0;313207,0;317803,0;324352,0;331066,0;336469
LUX;Hommes;219913,0;222856,0;226432,0;230127,0;233946;237701,0;242221,0;247122,0;252014;258222,0;265121,0;271763,0;278546,0;285584,0;292915,0;299613,0;305652,0;311845,0;317206,0;322261,0;328756,0;335362,0;340541
LVA;Total;2310176,0;2287955,0;2263123,0;2238799,0;2218351;2200325,0;2177324,0;2141668,0;2097553;2059710,0;2034324,0;2012647,0;1993785,0;1977523,0;1959535,0;1942247,0;1927170,0;1913826,0;1900448,0;1884488,0;1879374,0;1883708,0;1866124
LVA;Femmes;1249638,0;1238310,0;1224835,0;1211715,0;1200429;1189908,0;1177476,0;1159879,0;1138119;1118336,0;1103627,0;1090837,0;1079654,0;1069775,0;1059544,0;1049585,0;1039898,0;1030892,0;1022360,0;1012347,0;1008687,0;1012032,0;1001694
LVA;Hommes;1060538,0;1049645,0;1038288,0;1027084,0;1017922;1010417,0;999848,0;981789,0;959434;941374,0;930697,0;921810,0;914131,0;907748,0;899991,0;892662,0;887272,0;882934,0;878088,0;872141,0;870687,0;871676,0;864430
NLD;Total;16148921,0;16225303,0;16281777,0;16319871,0;16346096;16381696,0;16445590,0;16530387,0;16615390;16693074,0;16754963,0;16804430,0;16865008,0;16939925,0;17030314,0;17131295,0;17231622,0;17344876,0;17441500,0;17533048,0;17700981,0;17877121,0;17994238
NLD;Femmes;8155203,0;8194611,0;8225833,0;8248178,0;8263140;8281402,0;8311360,0;8350452,0;8391911;8429897,0;8459856,0;8483568,0;8511387,0;8544923,0;8584197,0;8630221,0;8677561,0;8730317,0;8774214,0;8817044,0;8903092,0;8991578,0;9044083
NLD;Hommes;7993718,0;8030692,0;8055944,0;8071693,0;8082956;8100294,0;8134230,0;8179935,0;8223479;8263177,0;8295107,0;8320862,0;8353621,0;8395002,0;8446117,0;8501074,0;8554061,0;8614559,0;8667286,0;8716004,0;8797889,0;8885543,0;8950155
PRT;Total;10419631,0;10458821,0;10483861,0;10503330,0;10522288;10542964,0;10558177,0;10568247,0;10573100;10574536,0;10531420,0;10473991,0;10419607,0;10381838,0;10356516,0;10340124,0;10334633,0;10354446,0;10384846,0;10407707,0;10468869,0;10578174,0;10701128
PRT;Femmes;5391273,5;5416486,5;5433335,5;5447062,5;5460684;5475892,5;5490183,5;5503254,5;5514456;5524164,0;5510578,0;5489671,0;5469600,0;5454771,0;5442815,5;5434840,5;5434010,5;5441643,5;5449915,5;5452640,5;5474914,0;5526065,5;5586170
PRT;Hommes;5028357,0;5042334,5;5050525,5;5056267,5;5061604;5067071,0;5067993,0;5064992,0;5058644;5050371,5;5020841,5;4984319,5;4950006,5;4927066,5;4913700,5;4905283,5;4900622,5;4912802,0;4934930,5;4955066,5;4993955,0;5052108,0;5114958
SVK;Total;5378809,0;5378950,0;5382574,0;5387285,0;5391184;5397766,0;5406972,0;5418374,0;5431024;5398384,0;5407579,0;5413392,5;5418649,0;5423800,5;5430797,5;5439231,5;5446770,5;5454147,0;5458827,0;5441991,0;5431752,0;5426739,5;5422069
SVK;Femmes;2767357,0;2768078,0;2770261,0;2772373,0;2774260;2776671,0;2780077,0;2784946,0;2791128;2769921,5;2773713,5;2775873,0;2777955,0;2779595,5;2781914,5;2785132,5;2787975,0;2790933,5;2792909,0;2780351,5;2775253,5;2772584,0;2769986
SVK;Hommes;2611452,0;2610872,0;2612313,0;2614912,0;2616924;2621095,0;2626895,0;2633428,0;2639896;2628462,5;2633865,5;2637519,5;2640694,0;2644205,0;2648883,0;2654099,0;2658795,5;2663213,5;2665918,0;2661639,5;2656498,5;2654155,5;2652083
