Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;AUT;Autriche;EUR;Euro;23314,40;23579,49;23960,52;23946,90;25211,59;27328,06;29790,89;27712,47;28158,01;29481,16;31232,34;32425,49;34260,01;36664,76;32857,22;34046,80;36694,49;38537,58;35827,54;40017,62;43617,27;45150,16;48976,12
D5;Impôts courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;30963,81;31239,40;32131,93;32372,99;33935,10;37298,58;40284,80;35916,86;37145,15;39188,98;41274,06;43146,03;45361,61;48489,49;45485,54;47667,03;51754,30;53993,62;48668,12;56128,89;64102,04;66045,44;69391,71
D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2395,63;2442,33;2190,51;2262,47;2359,78;2417,75;2574,16;2735,97;2839,87;2920,23;3059,26;3163,85;3257,99;3322,17;3400,95;3478,04;3554,75;3658,90;3888,25;3999,06;4090,64;4402,50;4894,90
D613V;Cotisations sociales effectives volontaires des ménages;AUT;Autriche;EUR;Euro;213,54;210,18;227,15;246,95;272,94;256,40;269,77;299,21;338,28;341,82;308,81;298,06;310,46;320,13;319,93;317,12;321,05;335,60;343,89;358,15;372,53;366,00;392,22
ODC;Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées), après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;99726,29;101291,07;104613,68;106738,33;110679,67;117735,34;124061,64;120639,24;123873,14;130038,07;135671,24;140811,86;145062,42;151240,78;152016,19;157052,88;165102,97;171341,96;162613,85;178110,41;194071,73;204822,23;215870,45
D29H;Autres impôts sur la production n.c.a.;AUT;Autriche;EUR;Euro;1307,65;1268,66;1252,14;1211,31;1222,61;1210,66;1205,38;1292,60;1472,42;1876,52;1923,98;1927,48;1885,13;1826,01;1966,93;1810,10;1798,34;1889,62;1937,99;1869,48;1862,48;2298,02;1875,96
D51E;Autres impôts sur le revenu n.c.a.;AUT;Autriche;EUR;Euro;637,20;642,02;657,92;682,42;716,46;753,22;785,47;797,18;811,61;844,65;877,21;915,26;935,69;965,46;1003,56;1068,18;1125,57;1157,63;1148,60;1229,28;1301,49;1398,14;1504,38
D51O;Impôts sur le revenu des sociétés y compris les gains de détention;AUT;Autriche;EUR;Euro;5246,72;5200,24;5607,00;5766,12;5963,71;7069,37;7467,54;5113,86;5810,43;6470,01;6679,43;7240,44;7273,00;7941,39;8632,72;9362,68;10695,73;10981,57;8380,20;11487,06;15664,68;15920,89;15433,79
D612;Cotisations sociales imputées à la charge des employeurs;AUT;Autriche;EUR;Euro;2626,15;2635,33;2641,95;2249,35;2189,50;2177,44;2160,14;2129,39;2106,36;2071,10;2024,82;1972,12;1912,96;1924,87;1865,23;1806,86;1757,07;1703,36;1639,91;1566,78;1525,70;1528,36;1568,83
D29;Autres impôts sur la production;AUT;Autriche;EUR;Euro;7401,91;7495,78;7595,03;7763,27;8013,51;8352,16;9046,53;9400,51;9743,24;10513,07;10951,24;11300,20;11569,04;11762,87;12199,79;11855,70;12011,67;12585,17;12321,33;13201,07;13959,05;15091,30;15407,11
D51A;Impôts sur le revenu des personnes physiques ou des ménages non compris les gains de détention;AUT;Autriche;EUR;Euro;23314,40;23579,49;23960,52;23946,90;25211,59;27328,06;29790,89;27712,47;28158,01;29481,16;31232,34;32425,49;34260,01;36664,76;32857,22;34046,80;36694,49;38537,58;35827,54;40017,62;43617,27;45150,16;48976,12
D2;Impôts sur la production et les importations;AUT;Autriche;EUR;Euro;33658,83;34120,24;35223,89;36145,42;37042,36;39103,67;40717,24;41196,77;42474,33;44690,52;46730,16;47407,58;48419,11;50038,58;52028,52;52868,43;54048,22;55728,91;52393,11;57214,65;61589,90;65417,31;67473,72
D613CE;Cotisations sociales effectives obligatoires à la charge des salariés;AUT;Autriche;EUR;Euro;13125,45;13421,23;13838,84;14364,01;14938,89;15612,00;16377,64;16471,28;16846,77;17533,93;18103,04;18930,36;19445,31;20104,35;20907,85;21706,95;22792,87;23764,94;23825,23;25013,86;26587,07;28666,22;30891,54
