Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2003;D995FN;Cotisations sociales effectives à la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D29D;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2003;D51C2;Impôts sur les gains de détention des sociétés;AUT;Autriche;EUR;Euro;0,00
2003;D91C;Autres impôts en capital n.c.a.;AUT;Autriche;EUR;Euro;0,00
2003;D59C;Impôts sur la dépense;AUT;Autriche;EUR;Euro;0,00
2003;D995FE;Cotisations sociales effectives à la charge des salariés dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D2122D;Impôts généraux sur les ventes;AUT;Autriche;EUR;Euro;0,00
2003;D61SC;Rémunération du service des régimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0,00
2003;D59E;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2003;D51C1;Impôts sur les gains de détention des personnes physiques ou des ménages;AUT;Autriche;EUR;Euro;0,00
2003;D995F;Cotisations sociales effectives à la charge des ménages dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D2122F;Bénéfices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0,00
2003;D995FS;Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D59A;Impôts courants sur le capital;AUT;Autriche;EUR;Euro;0,00
2003;D995G;Impôts en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D995D;Autres impôts courants dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0,00
2003;D995;Transferts en capital des administrations publiques vers les secteurs concernés correspondant à des impôts et contributions sociales notifiés mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0,00
2003;D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;4120,69
2003;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;78,72
2003;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;464,67
