Cde_Pays;Pays;Cde_Dépense;Dépense;Année;Montant
HRV;Croatie;GF0703;Services hospitaliers;2003;0,979640
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;2003;0,017230
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;2003;0,278640
HRV;Croatie;GF03;Ordre et sécurité publics;2003;0,740130
HRV;Croatie;GF0205;Défense n.c.a.;2003;0,017150
HRV;Croatie;GF0503;Lutte contre la pollution;2003;0,011870
HRV;Croatie;GF0303;Tribunaux;2003;0,178820
HRV;Croatie;GF06;Logement et développement collectif;2003;0,573510
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;2003;0,059590
HRV;Croatie;GF0408;RetD concernant les affaires économiques;2003;0,073920
HRV;Croatie;GF0502;Gestion des eaux usées;2003;0,065060
HRV;Croatie;GF0406;Communications;2003;0,004070
HRV;Croatie;GF0603;Alimentation en eau;2003;0,138020
HRV;Croatie;GF07;Santé;2003;1,946730
HRV;Croatie;GF0906;Services annexes à l'enseignement;2003;0,099260
HRV;Croatie;GF0706;Santé n.c.a.;2003;0,140320
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;2003;0,045820
HRV;Croatie;GF04;Affaires économiques;2003;3,005360
HRV;Croatie;GF0202;Défense civile;2003;0,000140
HRV;Croatie;GF0905;Enseignement non défini par niveau;2003;0,009060
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;2003;4,891230
HRV;Croatie;GF0908;Enseignement n.c.a.;2003;0,055260
HRV;Croatie;GF0601;Logements;2003;0,116170
HRV;Croatie;GF0102;Aide économique extérieure;2003;0,000130
HRV;Croatie;GF1003;Survivants;2003;0,478820
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2003;0,030510
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;2003;0,028290
HRV;Croatie;GF0902;Enseignement secondaire;2003;0,377730
HRV;Croatie;GF1002;Vieillesse;2003;2,721330
HRV;Croatie;GF1009;Protection sociale n.c.a.;2003;0,026730
HRV;Croatie;GF0204;R et D concernant la défense;2004;0,000000
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2004;0,000000
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2004;0,000000
HRV;Croatie;GF0703;Services hospitaliers;2004;1,099370
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2004;0,004140
HRV;Croatie;GF0201;Défense militaire;2004;0,520260
HRV;Croatie;GF0107;Opérations concernant la dette publique;2004;0,651300
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2004;0,029790
HRV;Croatie;GF02;Défense nationale;2004;0,540280
HRV;Croatie;GF0403;Combustibles et énergie;2004;0,008120
HRV;Croatie;GF1005;Chômage;2004;0,179180
HRV;Croatie;GF0405;Transports;2004;1,999080
HRV;Croatie;GF0304;Administration pénitentiaire;2004;0,048540
HRV;Croatie;GF0103;Services généraux;2004;0,139240
HRV;Croatie;GF0604;Éclairage public;2004;0,028370
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;2004;0,026740
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;2004;0,000330
HRV;Croatie;GF09;Enseignement;2004;1,927940
HRV;Croatie;GF1006;Logement;2004;0,034520
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;2004;0,012880
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;2004;0,042370
HRV;Croatie;GF0501;Gestion des déchets;2004;0,093160
HRV;Croatie;GF0602;Équipements collectifs;2004;0,185640
HRV;Croatie;GF0801;Services récréatifs et sportifs;2004;0,145310
HRV;Croatie;GF0704;Services de santé publique;2004;0,086850
HRV;Croatie;GF08;Loisirs, culture et cultes;2004;0,612690
HRV;Croatie;GF0702;Services ambulatoires;2004;0,490200
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;2004;0,113130
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;2004;0,370760
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;2004;0,001150
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;2004;0,040290
HRV;Croatie;GF05;Protection de l'environnement;2004;0,259940
HRV;Croatie;GF0407;Autres branches d'activité;2004;0,159630
HRV;Croatie;GF0301;Services de police;2004;0,392060
HRV;Croatie;GF0802;Services culturels;2004;0,221430
HRV;Croatie;GF01;Services généraux des administrations publiques;2004;1,293090
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2004;0,028100
HRV;Croatie;GF0804;Culte et autres services communautaires;2004;0,056400
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2004;0,087710
HRV;Croatie;GF1001;Maladie et invalidité;2004;0,825810
HRV;Croatie;GF0409;Affaires économiques n.c.a.;2004;0,100810
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;2004;0,835750
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2004;0,385690
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2004;0,443800
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;2004;0,003960
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;2004;0,055010
HRV;Croatie;GF1004;Famille et enfants;2004;0,604670
HRV;Croatie;GF0904;Enseignement supérieur;2004;0,499330
HRV;Croatie;GF0104;Recherche fondamentale;2004;0,050430
HRV;Croatie;GF0302;Services de protection civile;2004;0,125780
HRV;Croatie;GF0908;Enseignement n.c.a.;2004;0,057930
HRV;Croatie;GF0601;Logements;2004;0,153490
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;2004;4,922560
HRV;Croatie;GF0905;Enseignement non défini par niveau;2004;0,009000
HRV;Croatie;GF0202;Défense civile;2004;0,000040
HRV;Croatie;GF04;Affaires économiques;2004;3,266650
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;2004;0,050090
HRV;Croatie;GF0706;Santé n.c.a.;2004;0,154110
HRV;Croatie;GF0906;Services annexes à l'enseignement;2004;0,089660
HRV;Croatie;GF07;Santé;2004;2,223680
HRV;Croatie;GF0603;Alimentation en eau;2004;0,184440
HRV;Croatie;GF0406;Communications;2004;0,003770
HRV;Croatie;GF0502;Gestion des eaux usées;2004;0,080100
HRV;Croatie;GF0408;RetD concernant les affaires économiques;2004;0,090400
